epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,2445.61,1.44275,1.04017,1.43726,0.5241,0.56268,0.53098,0.31903,1.51208,1.02076,1.3252,0.000746868,0.000746868,0.000746868
56,2489.56,1.45309,1.03816,1.4034,0.49483,0.53922,0.57111,0.32924,1.50833,1.05356,1.32653,0.000738341,0.000738341,0.000738341
57,2533.67,1.44647,1.02487,1.40702,0.63502,0.5109,0.59443,0.30441,1.5177,1.09947,1.28575,0.000729725,0.000729725,0.000729725
58,2577.97,1.45373,1.02752,1.40249,0.74799,0.5117,0.6205,0.33601,1.52567,1.08224,1.35464,0.000721023,0.000721023,0.000721023
59,2621.92,1.42343,1.03085,1.37152,0.53569,0.63291,0.62448,0.38631,1.53414,1.05236,1.33735,0.000712237,0.000712237,0.000712237
60,2666.11,1.42135,1.02485,1.3941,0.64146,0.48395,0.58574,0.33418,1.50968,1.09358,1.32971,0.000703371,0.000703371,0.000703371
61,2710.31,1.43631,1.0045,1.36139,0.50138,0.65701,0.57866,0.31682,1.47575,1.01079,1.27881,0.000694428,0.000694428,0.000694428
62,2754.65,1.40952,1.00506,1.39214,0.66485,0.46452,0.54414,0.32085,1.51976,1.09667,1.35773,0.000685413,0.000685413,0.000685413
63,2824.04,1.39512,0.96634,1.36255,0.60883,0.61689,0.59875,0.35099,1.46412,0.99248,1.29005,0.000676328,0.000676328,0.000676328
64,2973.2,1.44396,0.96118,1.40379,0.56906,0.59985,0.5932,0.31508,1.59007,1.09795,1.37397,0.000667177,0.000667177,0.000667177
65,3147.47,1.43911,0.96849,1.39437,0.54137,0.55376,0.61382,0.34687,1.49944,1.01825,1.28648,0.000657963,0.000657963,0.000657963
66,3321.32,1.47983,0.95584,1.43483,0.4643,0.72164,0.57881,0.3294,1.47347,1.01641,1.27827,0.000648691,0.000648691,0.000648691
67,3503.2,1.40657,0.92636,1.34879,0.56808,0.59732,0.60708,0.36282,1.48457,1.05657,1.29735,0.000639363,0.000639363,0.000639363
68,3684.76,1.42086,1.00744,1.35347,0.55031,0.62422,0.63833,0.35337,1.50384,1.01899,1.28683,0.000629983,0.000629983,0.000629983
69,3926.84,1.40621,0.933,1.3604,0.58822,0.53973,0.64427,0.33352,1.52376,1.1072,1.32222,0.000620555,0.000620555,0.000620555
70,4141.45,1.4238,0.94709,1.36356,0.63936,0.53909,0.59826,0.34847,1.45028,1.04283,1.24232,0.000611083,0.000611083,0.000611083
71,4429.19,1.40156,0.9538,1.3543,0.57298,0.56479,0.56345,0.31615,1.54356,1.13558,1.30788,0.00060157,0.00060157,0.00060157
72,4830.7,1.39923,0.90465,1.3531,0.58348,0.58504,0.59009,0.32799,1.51231,1.07753,1.31065,0.000592019,0.000592019,0.000592019
73,4912.19,1.37805,0.85064,1.34644,0.41566,0.59635,0.55937,0.32966,1.53544,0.98449,1.35422,0.000582435,0.000582435,0.000582435
74,4969.01,1.40686,0.88266,1.35628,0.56383,0.56295,0.58941,0.34477,1.52571,1.10658,1.2847,0.000572821,0.000572821,0.000572821
75,5025.58,1.37724,0.87013,1.32922,0.65401,0.5488,0.63082,0.37283,1.52694,0.98907,1.27531,0.000563181,0.000563181,0.000563181
76,5072.5,1.39712,0.89289,1.36263,0.55005,0.59486,0.62344,0.38009,1.48993,0.95852,1.27559,0.000553518,0.000553518,0.000553518
77,5115.76,1.37601,0.8074,1.33087,0.5848,0.64524,0.65957,0.36717,1.51632,0.98361,1.28085,0.000543837,0.000543837,0.000543837
78,5159.18,1.36586,0.85361,1.35762,0.54964,0.74175,0.6695,0.37444,1.52275,1.07282,1.30222,0.000534141,0.000534141,0.000534141
79,5202.66,1.37746,0.82208,1.32661,0.60756,0.58569,0.65381,0.37538,1.53162,0.98732,1.27174,0.000524434,0.000524434,0.000524434
80,5245.98,1.39148,0.84469,1.33584,0.53881,0.6575,0.63633,0.36743,1.55722,0.94832,1.3216,0.000514719,0.000514719,0.000514719
81,5289.35,1.36807,0.8562,1.33672,0.63516,0.5915,0.63041,0.32862,1.56501,1.26939,1.31003,0.000505,0.000505,0.000505
82,5332.74,1.38629,0.83408,1.33954,0.54603,0.68269,0.60926,0.36541,1.50325,0.90358,1.30295,0.000495281,0.000495281,0.000495281
83,5376.15,1.38077,0.8516,1.33622,0.60979,0.69972,0.64952,0.35358,1.54614,0.99681,1.31018,0.000485566,0.000485566,0.000485566
84,5419.44,1.37916,0.81257,1.32543,0.57267,0.70083,0.65628,0.39369,1.49324,0.89732,1.24756,0.000475859,0.000475859,0.000475859
85,5463.27,1.37422,0.81786,1.32565,0.61718,0.62336,0.63396,0.3595,1.53287,1.08413,1.2782,0.000466163,0.000466163,0.000466163
86,5506.76,1.33749,0.86062,1.3143,0.71396,0.6944,0.67172,0.39181,1.48392,0.9116,1.2502,0.000456482,0.000456482,0.000456482
87,5550.25,1.36609,0.76779,1.3269,0.62515,0.68524,0.65797,0.38659,1.48653,0.88696,1.25806,0.000446819,0.000446819,0.000446819
88,5593.74,1.33968,0.75324,1.31057,0.6102,0.6345,0.62483,0.36124,1.53826,1.01943,1.30633,0.000437179,0.000437179,0.000437179
89,5637.37,1.36364,0.75768,1.29785,0.55396,0.63917,0.60613,0.37064,1.51629,0.93382,1.2812,0.000427565,0.000427565,0.000427565
90,5681.1,1.34941,0.74188,1.29566,0.67465,0.61984,0.65958,0.38161,1.49402,0.91321,1.24899,0.000417981,0.000417981,0.000417981
91,5724.83,1.3358,0.75573,1.30158,0.5295,0.66346,0.64436,0.37242,1.53611,1.00839,1.29288,0.00040843,0.00040843,0.00040843
